lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-05-02 21:24:41.098692,,,,,,,,,,,,,,
,2023-05-02 21:24:41.634560,0.02406933158636093,9.6128300356213e-05,-0.2543671727180481,49.0,0.0,,,,,,,,,
0.02,2023-05-02 21:25:07.888997,,,,,,,,,,,,,,
,2023-05-02 21:25:08.424106,0.21479535102844238,0.0008992977673187852,-0.3404211401939392,99.0,0.0,,,,,,,,,
0.02,2023-05-02 21:25:34.793584,,,,,,,,,,,,,,
,2023-05-02 21:25:35.346735,0.2525285482406616,0.0010739914141595364,-0.5749453902244568,149.0,0.0,,,,,,,,,
0.02,2023-05-02 21:26:01.753491,,,,,,,,,,,,,,
,2023-05-02 21:26:02.282697,0.16646282374858856,0.0012174767907708883,-0.9298412203788757,199.0,0.0,,,,,,,,,
0.02,2023-05-02 21:26:28.748246,,,,,,,,,,,,,,
,2023-05-02 21:26:29.279738,0.05357316508889198,0.00018196628661826253,-1.308516025543213,249.0,0.0,,,,,,,,,
,2023-05-02 21:26:32.577417,,,,,0.0,0.23401159048080444,0.0015062959864735603,-1.1333636045455933,0.07111084461212158,0.0003417360130697489,-1.2962642908096313,,,
,2023-05-02 21:26:32.584975,,,,,0.0,,,,,,,0.11692900210618973,0.0014855037443339825,-0.5715530514717102
0.02,2023-05-02 21:26:59.383551,,,,,,,,,,,,,,
,2023-05-02 21:26:59.920415,0.021387632936239243,9.201381908496842e-05,-1.6036185026168823,299.0,1.0,,,,,,,,,
0.02,2023-05-02 21:27:26.250375,,,,,,,,,,,,,,
,2023-05-02 21:27:26.779071,0.11825963109731674,0.00043853436363860965,-1.7668980360031128,349.0,1.0,,,,,,,,,
0.02,2023-05-02 21:27:53.111995,,,,,,,,,,,,,,
,2023-05-02 21:27:53.647556,0.03205164521932602,0.0001158830855274573,-2.1105639934539795,399.0,1.0,,,,,,,,,
0.02,2023-05-02 21:28:19.968079,,,,,,,,,,,,,,
,2023-05-02 21:28:20.509429,0.02605472505092621,9.046020568348467e-05,-2.3713767528533936,449.0,1.0,,,,,,,,,
0.02,2023-05-02 21:28:46.875021,,,,,,,,,,,,,,
,2023-05-02 21:28:50.734901,0.13887348771095276,0.0006539128953590989,-2.510775327682495,499.0,1.0,,,,,,,,,
,2023-05-02 21:28:52.755336,,,,,1.0,0.24915310740470886,0.0025648768059909344,-2.4055137634277344,0.10277746617794037,0.0004528346471488476,-2.551889657974243,,,
,2023-05-02 21:28:52.764994,,,,,1.0,,,,,,,0.12787669897079468,0.0012883812887594104,-1.892708420753479
0.02,2023-05-02 21:30:51.383880,,,,,,,,,,,,,,
,2023-05-02 21:30:51.919775,0.05380040034651756,0.00018771184841170907,-2.845506191253662,549.0,2.0,,,,,,,,,
0.02,2023-05-02 21:31:18.119235,,,,,,,,,,,,,,
,2023-05-02 21:31:18.652874,0.08988219499588013,0.0003460124717094004,-3.0565555095672607,599.0,2.0,,,,,,,,,
0.02,2023-05-02 21:31:44.882673,,,,,,,,,,,,,,
,2023-05-02 21:31:45.417256,0.15190090239048004,0.0014252625405788422,-3.23917293548584,649.0,2.0,,,,,,,,,
0.02,2023-05-02 21:32:11.694185,,,,,,,,,,,,,,
,2023-05-02 21:32:12.227156,0.0779283344745636,0.00026252496172674,-3.5553171634674072,699.0,2.0,,,,,,,,,
0.02,2023-05-02 21:32:38.505923,,,,,,,,,,,,,,
,2023-05-02 21:32:39.032218,0.22329576313495636,0.0011410228908061981,-3.6496849060058594,749.0,2.0,,,,,,,,,
,2023-05-02 21:32:41.445223,,,,,2.0,0.06143328174948692,0.0002730238193180412,-3.8163177967071533,0.10932756960391998,0.0014740647748112679,-3.768423557281494,,,
,2023-05-02 21:32:41.451362,,,,,2.0,,,,,,,0.12843440473079681,0.002270522527396679,-3.142308473587036
0.02,2023-05-02 21:33:08.665869,,,,,,,,,,,,,,
,2023-05-02 21:33:09.194915,0.17393523454666138,0.0014055350329726934,-3.9363725185394287,799.0,3.0,,,,,,,,,
0.02,2023-05-02 21:33:35.490383,,,,,,,,,,,,,,
,2023-05-02 21:33:36.026006,0.05460486188530922,0.00019361366867087781,-4.290647506713867,849.0,3.0,,,,,,,,,
0.02,2023-05-02 21:34:02.300126,,,,,,,,,,,,,,
,2023-05-02 21:34:02.827926,0.17656289041042328,0.0008060107938945293,-4.401277542114258,899.0,3.0,,,,,,,,,
0.02,2023-05-02 21:34:29.105122,,,,,,,,,,,,,,
,2023-05-02 21:34:29.641768,0.0216815322637558,8.48392301122658e-05,-4.786417007446289,949.0,3.0,,,,,,,,,
0.02,2023-05-02 21:34:56.029645,,,,,,,,,,,,,,
,2023-05-02 21:34:58.205374,0.24529188871383667,0.0010880453046411276,-4.790759086608887,999.0,3.0,,,,,,,,,
,2023-05-02 21:35:00.223687,,,,,3.0,0.024716412648558617,9.54131901380606e-05,-5.015870094299316,0.19043153524398804,0.0012447634944692254,-4.850154876708984,,,
,2023-05-02 21:35:00.233944,,,,,3.0,,,,,,,0.10855243355035782,0.0009566850494593382,-4.355828762054443
0.02,2023-05-02 21:36:57.136072,,,,,,,,,,,,,,
,2023-05-02 21:36:57.672749,0.016010886058211327,7.17572111170739e-05,-5.245710372924805,1049.0,4.0,,,,,,,,,
0.02,2023-05-02 21:37:23.946733,,,,,,,,,,,,,,
,2023-05-02 21:37:24.481883,0.47645705938339233,0.00699508236721158,-5.008676528930664,1099.0,4.0,,,,,,,,,
0.02,2023-05-02 21:37:50.764759,,,,,,,,,,,,,,
,2023-05-02 21:37:51.300396,0.07467199116945267,0.0002545732131693512,-5.631640911102295,1149.0,4.0,,,,,,,,,
0.02,2023-05-02 21:38:17.622722,,,,,,,,,,,,,,
,2023-05-02 21:38:18.159205,0.09437289834022522,0.00031302927527576685,-5.830909252166748,1199.0,4.0,,,,,,,,,
0.02,2023-05-02 21:38:44.530906,,,,,,,,,,,,,,
,2023-05-02 21:38:45.057050,0.02867615967988968,0.00010366378410253674,-6.113386154174805,1249.0,4.0,,,,,,,,,
,2023-05-02 21:38:47.478441,,,,,4.0,0.10099208354949951,0.0009282517712563276,-6.045383930206299,0.26508772373199463,0.0030576642602682114,-5.881288528442383,,,
,2023-05-02 21:38:47.487279,,,,,4.0,,,,,,,0.11612271517515182,0.0011380681535229087,-5.477843761444092
0.02,2023-05-02 21:39:15.349958,,,,,,,,,,,,,,
,2023-05-02 21:39:15.902607,0.13434970378875732,0.000450810301117599,-6.222329139709473,1299.0,5.0,,,,,,,,,
0.02,2023-05-02 21:39:42.237798,,,,,,,,,,,,,,
,2023-05-02 21:39:42.765172,0.022312158718705177,9.022386802826077e-05,-6.546839714050293,1349.0,5.0,,,,,,,,,
0.02,2023-05-02 21:40:09.056360,,,,,,,,,,,,,,
,2023-05-02 21:40:09.607595,0.02571820467710495,0.00010056825703941286,-6.753786563873291,1399.0,5.0,,,,,,,,,
0.02,2023-05-02 21:40:35.853027,,,,,,,,,,,,,,
,2023-05-02 21:40:36.387692,0.2481355369091034,0.0014615448890253901,-6.739623069763184,1449.0,5.0,,,,,,,,,
0.02,2023-05-02 21:41:02.738672,,,,,,,,,,,,,,
,2023-05-02 21:41:04.934734,0.06472492218017578,0.0002219963789684698,-7.129210948944092,1499.0,5.0,,,,,,,,,
,2023-05-02 21:41:06.927544,,,,,5.0,0.16984021663665771,0.0012273512547835708,-7.0281982421875,0.022258756682276726,8.661985339131206e-05,-7.175778865814209,,,
,2023-05-02 21:41:06.938370,,,,,5.0,,,,,,,0.11971933394670486,0.001633482170291245,-6.555695533752441
0.02,2023-05-02 21:43:03.793216,,,,,,,,,,,,,,
,2023-05-02 21:43:04.374896,0.69459068775177,0.24303337931632996,-6.703465938568115,1549.0,6.0,,,,,,,,,
0.02,2023-05-02 21:43:30.649092,,,,,,,,,,,,,,
,2023-05-02 21:43:31.185419,0.0504758320748806,0.00017671503883320838,-7.549665927886963,1599.0,6.0,,,,,,,,,
0.02,2023-05-02 21:43:57.467011,,,,,,,,,,,,,,
,2023-05-02 21:43:58.003457,0.21991491317749023,0.0013471065321937203,-7.58029842376709,1649.0,6.0,,,,,,,,,
0.02,2023-05-02 21:44:24.282705,,,,,,,,,,,,,,
,2023-05-02 21:44:24.826328,0.12390701472759247,0.000570009695366025,-7.87438440322876,1699.0,6.0,,,,,,,,,
0.02,2023-05-02 21:44:51.180591,,,,,,,,,,,,,,
,2023-05-02 21:44:51.707445,0.01096437405794859,4.940001235809177e-05,-8.183431625366211,1749.0,6.0,,,,,,,,,
