lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-05-02 23:06:18.868312,,,,,,,,,,,,,,
,2023-05-02 23:06:19.488005,0.024091774597764015,9.623524238122627e-05,-1.3680576086044312,49.0,0.0,,,,,,,,,
0.02,2023-05-02 23:06:50.482834,,,,,,,,,,,,,,
,2023-05-02 23:06:51.115514,0.2148338407278061,0.0008994450909085572,-2.5615997314453125,99.0,0.0,,,,,,,,,
0.02,2023-05-02 23:07:22.070827,,,,,,,,,,,,,,
,2023-05-02 23:07:22.681861,0.2525087594985962,0.0010739117860794067,-3.885582447052002,149.0,0.0,,,,,,,,,
0.02,2023-05-02 23:07:53.788836,,,,,,,,,,,,,,
,2023-05-02 23:07:54.449715,0.16644665598869324,0.0012173765571787953,-5.31608247756958,199.0,0.0,,,,,,,,,
0.02,2023-05-02 23:08:25.733558,,,,,,,,,,,,,,
,2023-05-02 23:08:26.416573,0.053580332547426224,0.000181978743057698,-6.758098125457764,249.0,0.0,,,,,,,,,
,2023-05-02 23:08:30.745502,,,,,0.0,0.23401358723640442,0.0015063214814290404,-6.604099273681641,0.07109042257070541,0.00034164206590503454,-6.767022132873535,,,
,2023-05-02 23:08:30.753716,,,,,0.0,,,,,,,0.11693621426820755,0.0014855453046038747,-3.326030969619751
0.02,2023-05-02 23:09:02.624191,,,,,,,,,,,,,,
,2023-05-02 23:09:03.260095,0.02136383019387722,9.191522258333862e-05,-8.105085372924805,299.0,1.0,,,,,,,,,
0.02,2023-05-02 23:09:34.850817,,,,,,,,,,,,,,
,2023-05-02 23:09:35.490101,0.11825615167617798,0.00043852347880601883,-9.309113502502441,349.0,1.0,,,,,,,,,
0.02,2023-05-02 23:10:06.985685,,,,,,,,,,,,,,
